set_freq,peak_freq,peak_amp
14000,14001.96533203125,121020713.68895303
14000,14001.96533203125,124627953.94948871
14000,14001.96533203125,120709012.13871129
14500,14502.6123046875,126948855.58989045
14500,14502.6123046875,123436283.37406525
14500,14502.6123046875,126728305.47128399
15000,14997.8759765625,109544226.68910645
15000,14997.8759765625,104020171.94233567
15000,14997.8759765625,102654080.68345183
15250,15250.89111328125,136142831.17043135
15250,15250.89111328125,136548772.26911625
15250,15250.89111328125,137304944.3459569
15500,15498.52294921875,137913695.13717756
15500,15498.52294921875,137683386.5288107
15500,15498.52294921875,138120695.0395203
15750,15751.5380859375,121106372.76757239
15750,15751.5380859375,116767163.98037958
15750,15751.5380859375,112638593.90983708
16000,15999.169921875,135239136.47872108
16000,15999.169921875,134541207.63594803
16000,15999.169921875,135042810.70000082
16500,16499.81689453125,114396960.64787565
16500,16499.81689453125,113529190.60458404
16500,16499.81689453125,113560755.9021482
17000,17000.4638671875,129393194.66439869
17000,17000.4638671875,128990731.33188097
17000,17000.4638671875,126532652.15241589
17500,17501.11083984375,104994483.77660032
17500,17501.11083984375,106074034.74750526
17500,17501.11083984375,107056057.6779257
18000,17996.37451171875,101814382.21581347
18000,17996.37451171875,101240833.42417356
18000,17996.37451171875,108228353.11063975
18500,18502.40478515625,111322374.17581195
18500,18502.40478515625,112039305.32331577
18500,18502.40478515625,104511877.06546067
19000,19003.0517578125,131407414.57655405
19000,19003.0517578125,127356808.60143802
19000,19003.0517578125,127636236.21192892
19500,19498.3154296875,91860976.0499693
19500,19498.3154296875,89500565.2683734
19500,19498.3154296875,97613531.55743954
20000,19998.96240234375,129552739.75827375
20000,19998.96240234375,128800768.61435652
20000,19998.96240234375,124993301.85551679
20500,20499.609375,91116755.72872606
20500,20499.609375,89111769.7470904
20500,20499.609375,94348932.697136
21000,21000.25634765625,69696497.08815332
21000,21000.25634765625,64055727.39278308
21000,21000.25634765625,69004637.028921
21500,21500.9033203125,47621425.116424374
21500,21500.9033203125,47811521.71280261
21500,21500.9033203125,50294560.89477927
22000,22001.55029296875,21682027.39922699
22000,22001.55029296875,20859586.40158879
22000,22001.55029296875,20862422.378265094
