time(s),sigal
0.0,0
2.2675736961451248e-05,-10
4.5351473922902495e-05,-13
6.802721088435374e-05,-9
9.070294784580499e-05,-11
0.00011337868480725624,-10
0.00013605442176870748,-7
0.00015873015873015873,-7
0.00018140589569160998,-4
0.00020408163265306123,-5
0.00022675736961451248,-5
0.00024943310657596373,-1
0.00027210884353741496,9
0.00029478458049886624,14
0.00031746031746031746,11
0.0003401360544217687,8
0.00036281179138321996,11
0.0003854875283446712,9
0.00040816326530612246,10
0.0004308390022675737,12
0.00045351473922902497,8
0.0004761904761904762,9
0.0004988662131519275,2
0.0005215419501133786,-11
0.0005442176870748299,-12
0.0005668934240362812,-9
0.0005895691609977325,-10
0.0006122448979591836,-15
0.0006349206349206349,-13
0.0006575963718820862,-11
0.0006802721088435374,-14
0.0007029478458049886,-8
0.0007256235827664399,-8
0.0007482993197278912,-2
0.0007709750566893424,5
0.0007936507936507937,12
0.0008163265306122449,7
0.0008390022675736961,5
0.0008616780045351474,6
0.0008843537414965987,9
0.0009070294784580499,9
0.0009297052154195011,8
0.0009523809523809524,8
0.0009750566893424037,7
0.000997732426303855,2
0.0010204081632653062,-9
0.0010430839002267573,-14
0.0010657596371882086,-9
0.0010884353741496598,-7
0.0011111111111111111,-10
0.0011337868480725624,-11
0.0011564625850340137,-10
0.001179138321995465,-6
0.001201814058956916,-6
0.0012244897959183673,-9
0.0012471655328798186,-5
0.0012698412698412698,6
0.0012925170068027211,11
0.0013151927437641724,9
0.0013378684807256237,9
0.0013605442176870747,11
0.001383219954648526,8
0.0014058956916099773,9
0.0014285714285714286,11
0.0014512471655328798,8
0.0014739229024943311,7
0.0014965986394557824,5
0.0015192743764172335,-10
0.0015419501133786847,-14
0.001564625850340136,-13
0.0015873015873015873,-10
0.0016099773242630386,-12
0.0016326530612244899,-14
0.0016553287981859411,-11
0.0016780045351473922,-12
0.0017006802721088435,-15
0.0017233560090702948,-13
0.001746031746031746,-9
0.0017687074829931973,1
0.0017913832199546486,8
0.0018140589569160999,5
0.001836734693877551,7
0.0018594104308390022,8
0.0018820861678004535,10
0.0019047619047619048,8
0.001927437641723356,8
0.0019501133786848073,8
0.0019727891156462586,8
0.00199546485260771,4
0.002018140589569161,-7
0.0020408163265306124,-11
0.0020634920634920637,-10
0.0020861678004535146,-8
0.002108843537414966,-12
0.002131519274376417,-10
0.0021541950113378684,-8
0.0021768707482993197,-8
0.002199546485260771,-7
0.0022222222222222222,-6
0.0022448979591836735,-5
0.0022675736961451248,5
0.002290249433106576,12
0.0023129251700680273,10
0.0023356009070294786,7
0.00235827664399093,10
0.002380952380952381,10
0.002403628117913832,10
0.0024263038548752833,10
0.0024489795918367346,9
0.002471655328798186,10
0.002494331065759637,3
0.0025170068027210884,-7
0.0025396825396825397,-13
0.002562358276643991,-10
0.0025850340136054422,-10
0.0026077097505668935,-11
0.002630385487528345,-10
0.002653061224489796,-10
0.0026757369614512473,-9
0.0026984126984126986,-10
0.0027210884353741495,-9
0.0027437641723356007,-3
0.002766439909297052,4
0.0027891156462585033,14
0.0028117913832199546,9
0.002834467120181406,4
0.002857142857142857,10
0.0028798185941043084,8
0.0029024943310657597,6
0.002925170068027211,6
0.0029478458049886623,9
0.0029705215419501135,8
0.002993197278911565,5
0.003015873015873016,-4
0.003038548752834467,-10
0.003061224489795918,-10
0.0030839002267573695,-11
0.0031065759637188208,-11
0.003129251700680272,-10
0.0031519274376417233,-10
0.0031746031746031746,-9
0.003197278911564626,-11
0.003219954648526077,-11
0.0032426303854875284,-6
0.0032653061224489797,2
0.003287981859410431,11
0.0033106575963718823,9
0.0033333333333333335,8
0.0033560090702947844,14
0.0033786848072562357,11
0.003401360544217687,8
0.0034240362811791382,9
0.0034467120181405895,9
0.0034693877551020408,8
0.003492063492063492,4
0.0035147392290249433,-6
0.0035374149659863946,-13
0.003560090702947846,-9
0.003582766439909297,-8
0.0036054421768707485,-7
0.0036281179138321997,-10
0.003650793650793651,-7
0.003673469387755102,-9
0.003696145124716553,-6
0.0037188208616780044,-10
0.0037414965986394557,-5
0.003764172335600907,3
0.0037868480725623582,14
0.0038095238095238095,11
0.003832199546485261,9
0.003854875283446712,11
0.0038775510204081634,9
0.0039002267573696146,8
0.0039229024943310655,7
0.003945578231292517,8
0.003968253968253968,8
0.00399092970521542,2
0.004013605442176871,-8
0.004036281179138322,-10
0.004058956916099773,-12
0.004081632653061225,-12
0.004104308390022676,-16
0.004126984126984127,-15
0.004149659863945578,-12
0.004172335600907029,-10
0.004195011337868481,-11
0.004217687074829932,-10
0.004240362811791383,-5
0.004263038548752834,4
0.004285714285714286,14
0.004308390022675737,11
0.0043310657596371885,6
0.004353741496598639,10
0.004376417233560091,10
0.004399092970521542,6
0.004421768707482994,5
0.0044444444444444444,6
0.004467120181405895,7
0.004489795918367347,4
0.004512471655328798,-4
0.0045351473922902496,-14
0.0045578231292517,-10
0.004580498866213152,-8
0.004603174603174603,-10
0.004625850340136055,-10
0.0046485260770975055,-7
0.004671201814058957,-10
0.004693877551020408,-10
0.00471655328798186,-10
0.004739229024943311,-10
0.004761904761904762,0
0.004784580498866213,12
0.004807256235827664,11
0.004829931972789116,9
0.004852607709750567,10
0.004875283446712018,12
0.004897959183673469,9
0.004920634920634921,8
0.004943310657596372,7
0.004965986394557823,7
0.004988662131519274,6
0.005011337868480726,-6
0.005034013605442177,-12
0.0050566893424036285,-13
0.005079365079365079,-11
0.00510204081632653,-11
0.005124716553287982,-11
0.005147392290249433,-10
0.0051700680272108845,-9
0.005192743764172335,-10
0.005215419501133787,-12
0.005238095238095238,-8
0.00526077097505669,4
0.00528344671201814,13
0.005306122448979592,11
0.005328798185941043,8
0.005351473922902495,8
0.0053741496598639455,8
0.005396825396825397,8
0.005419501133786848,12
0.005442176870748299,7
0.005464852607709751,7
0.0054875283446712015,4
0.005510204081632653,-5
0.005532879818594104,-14
0.005555555555555556,-10
0.005578231292517007,-7
0.005600907029478458,-11
0.005623582766439909,-10
0.005646258503401361,-11
0.005668934240362812,-6
0.0056916099773242634,-6
0.005714285714285714,-6
0.005736961451247165,-6
0.005759637188208617,0
0.005782312925170068,10
0.005804988662131519,10
0.00582766439909297,7
0.005850340136054422,11
0.005873015873015873,11
0.0058956916099773245,8
0.005918367346938775,9
0.005941043083900227,9
0.005963718820861678,11
0.00598639455782313,8
0.0060090702947845805,0
0.006031746031746032,-9
0.006054421768707483,-10
0.006077097505668934,-9
0.006099773242630386,-9
0.006122448979591836,-9
0.006145124716553288,-9
0.006167800453514739,-9
0.006190476190476191,-7
0.0062131519274376415,-9
0.006235827664399093,-3
0.006258503401360544,4
0.006281179138321996,14
0.006303854875283447,14
0.006326530612244898,11
0.006349206349206349,9
0.0063718820861678,11
0.006394557823129252,10
0.006417233560090703,8
0.006439909297052154,8
0.006462585034013605,7
0.006485260770975057,6
0.006507936507936508,-2
0.006530612244897959,-10
0.00655328798185941,-10
0.006575963718820862,-9
0.006598639455782313,-13
0.0066213151927437645,-10
0.006643990929705215,-10
0.006666666666666667,-7
0.006689342403628118,-7
0.006712018140589569,-5
0.0067346938775510205,-7
0.006757369614512471,1
0.006780045351473923,8
0.006802721088435374,10
0.006825396825396826,8
0.0068480725623582765,8
0.006870748299319728,11
0.006893424036281179,8
0.006916099773242631,8
0.0069387755102040816,5
0.006961451247165533,6
0.006984126984126984,7
0.007006802721088435,-3
0.007029478458049887,-11
0.0070521541950113375,-15
0.007074829931972789,-11
0.00709750566893424,-11
0.007120181405895692,-11
0.007142857142857143,-8
0.007165532879818594,-9
0.007188208616780045,-10
0.007210884353741497,-9
0.007233560090702948,-5
0.0072562358276643995,1
0.00727891156462585,11
0.007301587301587302,10
0.007324263038548753,8
0.007346938775510204,9
0.007369614512471655,8
